MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,After oil spill
3.68E+08,2022-12-07T00:17:43,39.83628,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T00:18:53,39.84634,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.68E+08,2022-12-07T00:20:03,39.83628,-79.924,0,360,170,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T00:19:45,39.8456,-75.2705,0,186.7,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:18:34,39.84559,-75.2705,0.1,206.3,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T00:20:05,39.84539,-75.3406,7.9,64.2,61,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.68E+08,2022-12-07T00:21:15,39.84647,-75.3375,8,65.3,62,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
2.13E+08,2022-12-07T00:14:34,39.84528,-125.498,12.5,336.5,336,PANAGIA THALASSINI,IMO9730335,5BNP4,80,0,,,,82,A,1
3.67E+08,2022-12-07T00:21:07,39.846,-75.2686,0,178.1,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T00:14:13,39.83629,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T00:22:04,39.84556,-75.2705,0,210.1,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T00:15:22,39.83629,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T00:21:52,39.84637,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.68E+08,2022-12-07T00:21:13,39.83629,-79.924,0,360,170,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T00:23:36,39.84824,-75.3313,7.9,75.2,72,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.67E+08,2022-12-07T00:23:14,39.84558,-75.2705,0.1,218.4,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:23:36,39.84597,-75.2686,0.1,254.8,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T00:18:58,39.846,-75.2686,0,252.2,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
5.64E+08,2022-12-07T00:23:25,39.84541,-75.2705,0.1,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.38E+08,2022-12-07T00:22:25,39.84213,-74.1495,0,360,511,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.68E+08,2022-12-07T00:23:33,39.83628,-79.924,0,360,170,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T00:24:25,39.84568,-75.2705,2.2,28.2,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:24:51,39.84636,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.68E+08,2022-12-07T00:24:43,39.83629,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
5.64E+08,2022-12-07T00:19:44,39.84539,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.67E+08,2022-12-07T00:20:54,39.84559,-75.2705,0,210.1,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.38E+08,2022-12-07T00:25:26,39.84212,-74.1495,0,360,89,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
6.36E+08,2022-12-07T00:26:03,39.83597,-73.595,0.1,345,143,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.68E+08,2022-12-07T00:27:03,39.83629,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T00:22:22,39.83628,-79.924,0,360,170,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
5.64E+08,2022-12-07T00:24:34,39.8454,-75.2706,0.3,261.9,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.67E+08,2022-12-07T00:25:57,39.84622,-75.2686,0.3,252.1,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T00:26:44,39.84508,-75.2707,0.5,319.8,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
5.64E+08,2022-12-07T00:22:14,39.84541,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.68E+08,2022-12-07T00:26:15,39.84899,-75.3238,7.9,92.6,89,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.68E+08,2022-12-07T00:22:26,39.84752,-75.3345,7.8,70.5,69,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.67E+08,2022-12-07T00:27:51,39.84636,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
6.36E+08,2022-12-07T00:23:03,39.83583,-73.595,0.2,39,135,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.67E+08,2022-12-07T00:27:08,39.84618,-75.2688,0.5,267.7,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T00:25:52,39.83629,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
5.64E+08,2022-12-07T00:21:05,39.8454,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.68E+08,2022-12-07T00:28:12,39.83629,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
6.36E+08,2022-12-07T00:29:03,39.83607,-73.5951,0.2,270,150,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.67E+08,2022-12-07T00:22:16,39.84598,-75.2686,0,228.4,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T00:28:16,39.84627,-75.269,0.6,324,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
5.64E+08,2022-12-07T00:26:55,39.84546,-75.2708,0.5,323.5,79,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
5.64E+08,2022-12-07T00:29:14,39.84583,-75.2711,0.9,337,84,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.67E+08,2022-12-07T00:30:05,39.84573,-75.2711,1.1,339,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:29:27,39.84643,-75.2691,0.7,328.6,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.38E+08,2022-12-07T00:28:25,39.84212,-74.1495,0,360,511,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.68E+08,2022-12-07T00:29:22,39.83629,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T00:24:46,39.84884,-75.328,7.9,79.4,80,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.67E+08,2022-12-07T00:24:47,39.84595,-75.2687,0.3,253.7,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T00:25:35,39.84508,-75.2707,1.1,55.8,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:30:37,39.84667,-75.2691,0.4,336.3,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T00:29:37,39.84871,-75.3167,3.7,90.6,86,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.68E+08,2022-12-07T00:30:32,39.83629,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T00:30:53,39.84636,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
5.64E+08,2022-12-07T00:25:44,39.84539,-75.2707,0.3,267.5,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.67E+08,2022-12-07T00:31:48,39.84653,-75.2692,0.6,296.8,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T00:32:15,39.84866,-75.3135,3.2,92.9,90,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.67E+08,2022-12-07T00:31:14,39.84612,-75.2714,1.4,329.2,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:33:25,39.84694,-75.272,2,333.2,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T00:31:42,39.83629,-79.924,0,360,170,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
5.64E+08,2022-12-07T00:32:38,39.84684,-75.2717,1.6,332.3,108,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
5.64E+08,2022-12-07T00:31:34,39.84654,-75.2715,1.4,335.6,96,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.68E+08,2022-12-07T00:33:37,39.84859,-75.3119,3.2,94.6,91,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
5.64E+08,2022-12-07T00:28:04,39.84561,-75.271,0.6,327.2,82,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
5.64E+08,2022-12-07T00:34:45,39.84781,-75.2719,1.3,18,156,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.68E+08,2022-12-07T00:33:53,39.83629,-79.924,0,360,170,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T00:28:36,39.84874,-75.3181,4.8,91.3,86,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.68E+08,2022-12-07T00:35:57,39.84842,-75.3092,3.2,92,83,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.38E+08,2022-12-07T00:34:25,39.84213,-74.1495,0,360,89,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.67E+08,2022-12-07T00:27:45,39.84526,-75.2708,0.6,324.4,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T00:27:26,39.84882,-75.3206,6.9,93.9,88,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.67E+08,2022-12-07T00:35:36,39.84786,-75.2721,2.8,358.8,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:33:52,39.84637,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
5.64E+08,2022-12-07T00:35:48,39.84803,-75.2717,0.6,47.1,186,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.68E+08,2022-12-07T00:32:43,39.83629,-79.924,0,360,170,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T00:34:35,39.84752,-75.2721,1.4,2,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:37:36,39.84672,-75.2734,2.8,299.8,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
5.64E+08,2022-12-07T00:33:41,39.84739,-75.2719,1.6,347.8,128,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.67E+08,2022-12-07T00:28:54,39.84543,-75.271,0.8,331.2,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:34:07,39.8464,-75.2703,2,251.1,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T00:36:51,39.84638,-75.2657,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.68E+08,2022-12-07T00:37:15,39.8485,-75.3073,4.8,84.4,78,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.38E+08,2022-12-07T00:37:27,39.84212,-74.1495,0,360,511,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.67E+08,2022-12-07T00:38:14,39.84798,-75.2661,8.2,104.9,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:36:54,39.84862,-75.2698,7.9,103.6,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:35:17,39.8462,-75.2713,2.6,264.3,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
5.64E+08,2022-12-07T00:30:25,39.84616,-75.2713,1.2,339.4,89,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
